objid,ra,dec,u,g,r,i,z,distance
5.82094E+17,229.041619,-0.097512,22.617,22.974,22.574,22.139,22.158,1.844212
5.82094E+17,229.038386,-0.099582,22.997,24.633,23.75,22.202,21.725,1.619874
5.82094E+17,228.983255,-0.118595,22.307,21.365,21.152,20.848,20.759,1.879239
5.82094E+17,228.9901,-0.091018,25.124,24.156,22.561,21.108,20.231,1.708183
5.82094E+17,228.990477,-0.089483,23.272,21.905,21.63,21.259,20.898,1.747871
5.82094E+17,228.989432,-0.089451,23.055,22.525,22.097,21.81,21.844,1.797583
5.82094E+17,228.984475,-0.094742,22.479,20.618,19.969,19.666,19.554,1.881567
5.82094E+17,228.988026,-0.090726,21.755,20.727,20.304,20.17,20.096,1.818997
5.82094E+17,228.986014,-0.093704,22.016,21.145,20.866,20.649,20.944,1.827407
5.82094E+17,228.986712,-0.091769,22.425,21.34,21.019,20.813,20.751,1.849883
5.82094E+17,228.986395,-0.092666,23.424,22.454,21.902,21.763,21.563,1.83813
5.82094E+17,228.986285,-0.121583,21.48,20.129,19.595,19.339,19.185,1.782095
5.82094E+17,228.98815,-0.124902,22.84,21.352,21.05,20.899,21.102,1.786528
5.82094E+17,228.987397,-0.126115,23.083,21.671,21.164,21.177,21.034,1.865082
5.82094E+17,228.988798,-0.128174,22.7,21.652,21.313,21.239,20.611,1.873553
5.82094E+17,228.988051,-0.126923,22.853,21.673,21.329,21.102,21.383,1.86198
5.82094E+17,228.988945,-0.123758,25.33,22.953,22.045,22.228,22.597,1.708764
5.82094E+17,228.988105,-0.103263,22.287,20.792,20.289,19.961,19.832,1.510999
5.82094E+17,228.986305,-0.104049,23.013,21.639,21.203,21.16,21.12,1.609117
5.82094E+17,228.989336,-0.094136,21.478,20.422,20.076,19.872,19.899,1.641334
5.82094E+17,228.988656,-0.093956,21.819,20.792,20.423,20.366,20.413,1.681951
5.82094E+17,228.990858,-0.094929,21.71,20.944,20.661,20.449,20.439,1.538623
5.82094E+17,228.990894,-0.093756,23.843,22.701,22.163,22.33,21.811,1.574372
5.82094E+17,228.989358,-0.108077,24.42,23.206,22.698,22.088,22.856,1.40653
5.82094E+17,228.993609,-0.124313,21.801,20.574,20.157,20.049,20.029,1.503518
5.82094E+17,228.995258,-0.126752,22.303,21.883,21.483,21.313,21.233,1.531901
5.82094E+17,228.993765,-0.125301,22.892,22.245,21.787,21.727,22.615,1.535322
5.82094E+17,228.992781,-0.127209,23.974,22.43,22.075,21.819,22.861,1.656394
5.82094E+17,228.993416,-0.126373,23.625,22.908,22.43,22.291,21.938,1.594206
5.82094E+17,228.99481,-0.125095,23.225,23.011,22.75,22.569,22.591,1.480767
5.82094E+17,228.993942,-0.125811,24.029,23.191,23.05,22.01,22.017,1.548116
5.82094E+17,228.996048,-0.084021,20.485,19.213,18.688,18.467,18.35,1.764907
5.82094E+17,228.996587,-0.132115,21.305,20.218,19.73,19.495,19.396,1.733555
5.82094E+17,228.996826,-0.13169,24.671,20.964,20.423,20.492,20.364,1.704409
5.82094E+17,228.997334,-0.12631,22.441,21.171,20.789,20.656,20.896,1.428881
5.82094E+17,228.997865,-0.129847,22.747,21.623,21.252,21.184,20.813,1.577972
5.82094E+17,228.997705,-0.133007,24.629,22.088,21.721,21.307,22.063,1.742309
5.82094E+17,229.000319,-0.087215,20.655,19.281,18.685,18.403,18.299,1.464946
5.82094E+17,228.999329,-0.085826,21.579,20.642,20.296,20.13,19.983,1.567016
5.82094E+17,229.001887,-0.135217,22.058,20.879,20.56,20.268,20.399,1.748268
5.82094E+17,229.001541,-0.134645,23.466,22.287,21.886,21.889,21.774,1.724547
5.82094E+17,229.004831,-0.08503,23.559,20.853,19.651,19.206,19.029,1.470104
5.82094E+17,229.006396,-0.085098,22.653,21.801,21.418,21.132,22.201,1.438421
5.82094E+17,229.005404,-0.083251,23.953,22.461,21.961,21.701,21.267,1.561307
5.82094E+17,229.007575,-0.078226,20.731,19.627,19.593,19.638,19.583,1.825552
5.82094E+17,229.008824,-0.079586,21.804,20.703,20.354,20.278,20.27,1.733316
5.82094E+17,229.008176,-0.08122,23.163,22.386,21.981,21.609,21.766,1.642377
5.82094E+17,229.013606,-0.139484,22.114,21.062,20.76,20.548,20.668,1.877647
5.82094E+17,229.012516,-0.079035,20.507,19.149,18.577,18.294,18.209,1.75
5.82094E+17,229.013898,-0.134697,22.245,20.38,19.612,19.296,19.132,1.591212
5.82094E+17,229.019781,-0.133459,21.455,20.479,20.081,19.865,19.667,1.572376
5.82094E+17,229.017897,-0.133743,23.564,21.614,21.25,20.908,20.874,1.56278
5.82094E+17,229.015948,-0.135537,23.1,21.674,21.261,21.12,21.084,1.651036
5.82094E+17,229.014833,-0.136123,23.582,22.448,22.522,22.004,21.992,1.679795
5.82094E+17,229.016631,-0.135025,24.609,23.096,22.735,22.581,23.342,1.625807
5.82094E+17,229.013796,-0.131908,23.89,22.886,22.688,22.299,22.522,1.42374
5.82094E+17,229.015421,-0.08495,21.897,20.972,20.699,20.508,20.527,1.403843
5.82094E+17,229.030551,-0.132599,22.277,19.7,18.26,17.603,17.238,1.810393
